canal,bloco,movimento,lojas_com_tempo,dur_mediana
C&C,Abertura,"Conferir encarte, Guia de PDV e MOP",11,10.0
C&C,Abertura,Cumprimentar gerente / encarregado,8,5.0
C&C,Abertura,Identificar pontos de atenção / rupturas,11,9.0
C&C,Abertura,Passar por todas as categorias puxando frentes,11,24.0
C&C,Abertura,Pegar relatório de estoque para conferência,10,5.0
C&C,Check Out,Abastecer seguindo o guia de execução,10,16.0
C&C,Check Out,Conferir KBD's (Direcionamentos Chaves),9,13.0
C&C,Check Out,Limpeza dos móveis antes do abastecimento,8,23.0
C&C,Check Out,Precificar todos os itens,9,19.0
C&C,Entrada,Chegada à loja (portaria/entrada),5,3.0
C&C,Entrada,Espera para autorização / cadastro / liberação,8,3.0
C&C,Entrada,Guardar pertences / retirar equipamentos / EPIs,6,2.5
C&C,Entrada,Localizar o setor / estoque / responsável,9,5.0
C&C,Entrada,Registro de entrada (app / sistema do cliente),8,2.5
C&C,Estoque,Deslocamento até o estoque,12,5.0
C&C,Estoque,Localizar produtos no estoque,10,6.0
C&C,Estoque,Organização / arrumação do estoque,8,5.5
C&C,Estoque,Retorno ao setor com os produtos,10,3.5
C&C,Estoque,Separação de itens para abastecimento,10,8.5
C&C,Outras Atividades,Busca de produtos ou materiais em outros setores,4,5.5
C&C,Outras Atividades,Deslocamento interno dentro da loja,4,23.0
C&C,Outras Atividades,Leitura de loja (checklist / auditoria),4,122.0
C&C,Outras Atividades,Negociação com encarregado / gerente,5,5.0
C&C,Outras Atividades,Tratamento de divergências (estoque/preço/validade),4,12.5
C&C,Ponto Extra,Abastecer seguindo guia de execução + KBD's,5,57.0
C&C,Ponto Extra,Limpeza do móvel / display,5,31.0
C&C,Ponto Extra,Montagem do display / ponto extra,4,57.0
C&C,Ponto Extra,Precificar todos os itens,5,29.0
C&C,Ponto Natural,Abastecimento e organização (Layout/KBDs etc),9,94.0
C&C,Ponto Natural,Buscar itens faltantes no estoque,11,58.0
C&C,Ponto Natural,Limpeza antes do abastecimento,9,53.0
C&C,Ponto Natural,Precificar todos os itens,8,50.0
C&C,Ponto Natural,Validar estoque virtual,8,33.5
C&C,Saída,Deixar o setor / estoque,5,3.0
C&C,Saída,Deslocamento até a saída da loja,9,1.0
C&C,Saída,Guardar equipamentos / materiais,6,7.0
C&C,Saída,Saída da loja (portaria/catraca),6,1.0
CLUB,Abertura,"Conferir encarte, Guia de PDV e MOP",6,4.0
CLUB,Abertura,Cumprimentar gerente / encarregado,4,32.5
CLUB,Abertura,Identificar pontos de atenção / rupturas,6,21.0
CLUB,Abertura,Passar por todas as categorias puxando frentes,6,24.5
CLUB,Abertura,Pegar relatório de estoque para conferência,4,6.0
CLUB,Check Out,Abastecer seguindo o guia de execução,6,50.0
CLUB,Check Out,Conferir KBD's (Direcionamentos Chaves),6,51.0
CLUB,Check Out,Limpeza dos móveis antes do abastecimento,6,50.0
CLUB,Check Out,Precificar todos os itens,6,55.0
CLUB,Entrada,Chegada à loja (portaria/entrada),3,60.0
CLUB,Entrada,Espera para autorização / cadastro / liberação,6,45.0
CLUB,Entrada,Guardar pertences / retirar equipamentos / EPIs,4,12.5
